id,title,type,repository_path,source_url,license,author,ai_generated,tool,notes,approved_for_public_repo,approved_for_apple_build,review_status,rejection_reason
candidate_public_domain_starfield,Public Domain Starfield Candidate,image,,https://images.nasa.gov/details/PIA21923,public-domain,NASA,no,none,Candidate record only; no asset file is committed; review source metadata and NASA media guidelines before use,yes,not-reviewed,accepted,
candidate_original_ai_planet_icon,Original AI Planet Icon Candidate,image,,original,original-project-owned,Astro Adventure contributors,yes,AI-assisted drawing workflow,Candidate record only; no asset file is committed; keep prompt/source notes in the asset review issue before use,yes,not-reviewed,accepted,
candidate_private_marketplace_ship,Private Marketplace Ship Candidate,model,,private-only,proprietary-private-only,Third-party marketplace creator,no,none,Rejected candidate only; do not commit source or derived files to the public repo,no,no,rejected,Private-only or redistribution-unclear asset
astro_adventure_app_icon_master,Astro Adventure App Icon Master,image,assets/app-icon/AstroAdventure-AppIconMaster.png,original,original-project-owned,Astro Adventure contributors,yes,OpenAI image generation,Original prompt-generated artwork; no text logos protected characters or living-artist style requested; source for Apple platform icon derivatives,yes,yes,accepted,
astro_adventure_tvos_foreground_master,Astro Adventure tvOS Foreground Master,image,assets/app-icon/AstroAdventure-tvOS-Foreground-Master.png,original,original-project-owned,Astro Adventure contributors,yes,OpenAI image generation and local chroma-key removal,Original decorative star and orbital-swoosh layer with transparent background for tvOS parallax,yes,yes,accepted,
astro_adventure_ios_app_icon,Astro Adventure iOS App Icon,image,Apps/Shared/Assets.xcassets/AppIcon.appiconset/AstroAdventure-AppIcon-1024.png,original,original-project-owned,Astro Adventure contributors,yes,sips,1024px Apple asset-catalog derivative of astro_adventure_app_icon_master,yes,yes,accepted,
astro_adventure_tvos_store_background,Astro Adventure tvOS App Store Background,image,Apps/Shared/Assets.xcassets/App Icon & Top Shelf Image.brandassets/App Icon - App Store.imagestack/Background.imagestacklayer/Content.imageset/Background.png,original,original-project-owned,Astro Adventure contributors,yes,sips and Xcode asset catalog,1280x768 App Store background derivative of astro_adventure_app_icon_master,yes,yes,accepted,
astro_adventure_tvos_store_foreground,Astro Adventure tvOS App Store Foreground,image,Apps/Shared/Assets.xcassets/App Icon & Top Shelf Image.brandassets/App Icon - App Store.imagestack/Foreground.imagestacklayer/Content.imageset/Foreground.png,original,original-project-owned,Astro Adventure contributors,yes,sips and Xcode asset catalog,1280x768 App Store foreground derivative of astro_adventure_tvos_foreground_master,yes,yes,accepted,
astro_adventure_tvos_home_background_1x,Astro Adventure tvOS Home Background 1x,image,Apps/Shared/Assets.xcassets/App Icon & Top Shelf Image.brandassets/App Icon.imagestack/Background.imagestacklayer/Content.imageset/Background.png,original,original-project-owned,Astro Adventure contributors,yes,sips and Xcode asset catalog,400x240 tvOS Home Screen background derivative of astro_adventure_app_icon_master,yes,yes,accepted,
astro_adventure_tvos_home_background_2x,Astro Adventure tvOS Home Background 2x,image,Apps/Shared/Assets.xcassets/App Icon & Top Shelf Image.brandassets/App Icon.imagestack/Background.imagestacklayer/Content.imageset/Background@2x.png,original,original-project-owned,Astro Adventure contributors,yes,sips and Xcode asset catalog,800x480 tvOS Home Screen background derivative of astro_adventure_app_icon_master,yes,yes,accepted,
astro_adventure_tvos_home_foreground_1x,Astro Adventure tvOS Home Foreground 1x,image,Apps/Shared/Assets.xcassets/App Icon & Top Shelf Image.brandassets/App Icon.imagestack/Foreground.imagestacklayer/Content.imageset/Foreground.png,original,original-project-owned,Astro Adventure contributors,yes,sips and Xcode asset catalog,400x240 tvOS Home Screen foreground derivative of astro_adventure_tvos_foreground_master,yes,yes,accepted,
astro_adventure_tvos_home_foreground_2x,Astro Adventure tvOS Home Foreground 2x,image,Apps/Shared/Assets.xcassets/App Icon & Top Shelf Image.brandassets/App Icon.imagestack/Foreground.imagestacklayer/Content.imageset/Foreground@2x.png,original,original-project-owned,Astro Adventure contributors,yes,sips and Xcode asset catalog,800x480 tvOS Home Screen foreground derivative of astro_adventure_tvos_foreground_master,yes,yes,accepted,
astro_adventure_tvos_top_shelf_1x,Astro Adventure tvOS Top Shelf 1x,image,Apps/Shared/Assets.xcassets/App Icon & Top Shelf Image.brandassets/Top Shelf Image.imageset/Top Shelf Image.png,original,ai-generated-project-owned,Astro Adventure contributors,yes,OpenAI image generation and sips,1920x720 tvOS Top Shelf artwork derived from the existing Astro Adventure visual style,yes,yes,accepted,
astro_adventure_tvos_top_shelf_2x,Astro Adventure tvOS Top Shelf 2x,image,Apps/Shared/Assets.xcassets/App Icon & Top Shelf Image.brandassets/Top Shelf Image.imageset/Top Shelf Image@2x.png,original,ai-generated-project-owned,Astro Adventure contributors,yes,OpenAI image generation and sips,3840x1440 tvOS Top Shelf artwork derived from the existing Astro Adventure visual style,yes,yes,accepted,
astro_adventure_tvos_top_shelf_wide_1x,Astro Adventure tvOS Top Shelf Wide 1x,image,Apps/Shared/Assets.xcassets/App Icon & Top Shelf Image.brandassets/Top Shelf Image Wide.imageset/Top Shelf Image Wide.png,original,ai-generated-project-owned,Astro Adventure contributors,yes,OpenAI image generation and sips,2320x720 tvOS wide Top Shelf artwork required for TestFlight validation,yes,yes,accepted,
astro_adventure_tvos_top_shelf_wide_2x,Astro Adventure tvOS Top Shelf Wide 2x,image,Apps/Shared/Assets.xcassets/App Icon & Top Shelf Image.brandassets/Top Shelf Image Wide.imageset/Top Shelf Image Wide@2x.png,original,ai-generated-project-owned,Astro Adventure contributors,yes,OpenAI image generation and sips,4640x1440 Retina tvOS wide Top Shelf artwork required for TestFlight validation,yes,yes,accepted,
space_technology_rs25_engine,RS-25 engine hot-fire test,image,Sources/AstroUI/Resources/DiscoveryImages/tech-engine.jpg,https://images.nasa.gov/details/SSC-2015-00064,public-domain,NASA Stennis Space Center,no,sips,NASA image resized and JPEG-compressed for educational in-app presentation,yes,yes,accepted,
